Instagram	instagram	252757041	207	5458
apple	apple	8150227	5	268
Tableau Software	tableausoftware	10172	189	264
Instagram	instagram	252757382	207	5458
apple	apple	8150266	5	268
Tableau Software	tableausoftware	10172	189	264
